cycle,soh_A,ri_A,temp_A,curr_A,soh_B,ri_B,temp_B,curr_B
169,67.04807899437732,0.11954230520674722,34.563384416539776,2.0,74.0582399126399,0.11113011210483212,27.22260224209664,1.0
170,66.83627050397854,0.11979647539522574,34.58371803161806,2.0,73.91690293111577,0.11129971648266107,27.225994329653222,1.0
171,66.624266810875,0.12005087982695,34.604070386155996,2.0,73.7755333855511,0.11146935993733868,27.229387198746775,1.0
172,66.4120677351679,0.12030551871779853,34.62444149742388,2.0,73.63413126844313,0.11163904247786825,27.232780849557365,1.0
173,66.19967309679262,0.12056039228384886,34.644831382707906,2.0,73.49269657228737,0.11180876411325516,27.2361752822651,1.0
174,65.98708271551862,0.12081550074137766,34.665240059310214,2.0,73.35122928957763,0.11197852485250685,27.23957049705014,1.0
175,65.77429641094925,0.1210708443068609,34.68566754454887,2.0,73.20972941280596,0.11214832470463286,27.242966494092656,1.0
176,65.56131400252158,0.1213264231969741,34.70611385575793,2.0,73.06819693446266,0.1123181636786448,27.246363273572896,1.0
177,65.3481353095063,0.12158223762859244,34.726579010287395,2.0,72.92663184703636,0.11248804178355636,27.249760835671125,1.0
178,65.13476015100754,0.12183828781879096,34.74706302550328,2.0,72.78503414301392,0.1126579590283833,27.253159180567664,1.0
179,64.9211883459627,0.12209457398484475,34.76756591878758,2.0,72.64340381488047,0.11282791542214345,27.25655830844287,1.0
180,64.70741971314234,0.1223510963442292,34.78808770753834,2.0,72.50174085511942,0.11299791097385668,27.259958219477134,1.0
181,64.49345407114997,0.12260785511462004,34.8086284091696,2.0,72.36004525621244,0.11316794569254507,27.2633589138509,1.0
182,64.27929123842195,0.12286485051389366,34.82918804111149,2.0,72.21831701063948,0.11333801958723262,27.266760391744654,1.0
183,64.06493103322728,0.12312208276012726,34.84976662081018,2.0,72.07655611087873,0.11350813266694554,27.27016265333891,1.0
184,63.85037327366751,0.123379552071599,34.87036416572792,2.0,71.93476254940667,0.113678284940712,27.273565698814238,1.0
